Quantidade média de operações para inserção de registros aleatórios
, Arvore AVL, Arvore Rubro-negran, Arvore B
, 226222.406, 8179.100, 15669.200 
, 227065.297, 8199.300, 15695.300 
, 227905.000, 8220.500, 15747.600 
, 228755.594, 8240.400, 15773.700 
, 229616.000, 8261.900, 15827.300 
, 230475.797, 8282.200, 15853.300 
, 231337.203, 8304.300, 15906.800 
, 232216.094, 8324.900, 15932.700 
, 233101.797, 8346.000, 15984.800 
, 233987.906, 8366.300, 16010.700 
, 234859.000, 8387.100, 16062.800 
, 235746.000, 8407.200, 16088.700 
, 236644.797, 8428.600, 16143.300 
, 237536.906, 8449.100, 16169.000 
, 238422.797, 8470.600, 16223.400 
, 239326.000, 8490.400, 16248.900 
, 240230.594, 8512.100, 16298.200 
, 241137.297, 8532.100, 16323.900 
, 242040.594, 8553.100, 16373.400 
, 242956.906, 8573.700, 16399.301 
, 243880.000, 8594.700, 16450.301 
, 244804.906, 8615.300, 16476.301 
, 245729.406, 8637.400, 16527.400 
, 246678.797, 8657.800, 16553.500 
, 247642.406, 8679.300, 16603.400 
, 248599.094, 8699.900, 16629.699 
, 249518.203, 8720.700, 16679.801 
, 250462.500, 8741.300, 16706.301 
, 251421.000, 8762.500, 16760.301 
, 252358.203, 8782.600, 16786.699 
, 253280.203, 8804.200, 16840.600 
, 254228.094, 8824.700, 16866.900 
, 255163.203, 8845.700, 16918.199 
, 256102.297, 8866.100, 16944.600 
, 257037.406, 8886.900, 16996.000 
, 257984.406, 8907.000, 17022.500 
, 258940.797, 8928.500, 17075.301 
, 259897.703, 8949.100, 17101.801 
, 260854.000, 8970.900, 17154.600 
, 261828.703, 8991.300, 17181.100 
, 262810.406, 9012.400, 17232.600 
, 263792.500, 9032.700, 17259.199 
, 264760.000, 9053.700, 17310.801 
, 265743.906, 9074.100, 17337.500 
, 266737.812, 9095.400, 17391.699 
, 267724.594, 9115.400, 17418.301 
, 268707.406, 9137.000, 17472.400 
, 269707.906, 9157.300, 17498.900 
, 270707.188, 9178.500, 17549.199 
, 271710.094, 9198.700, 17575.900 
, 272709.594, 9219.900, 17626.400 
, 273721.500, 9240.100, 17653.301 
, 274740.812, 9261.300, 17705.301 
, 275761.906, 9282.100, 17732.301 
, 276781.812, 9303.800, 17784.400 
, 277811.406, 9324.700, 17811.500 
, 278845.500, 9347.000, 17862.400 
, 279885.812, 9368.100, 17889.699 
, 280935.000, 9389.700, 17940.801 
, 281993.312, 9411.100, 17968.301 
, 283056.812, 9432.900, 18027.100 
, 284129.594, 9454.100, 18054.301 
, 285210.906, 9476.700, 18112.801 
, 286302.406, 9498.200, 18139.699 
, 287405.094, 9520.200, 18195.400 
, 288512.812, 9541.600, 18222.199 
, 289617.906, 9563.600, 18277.801 
, 290736.406, 9585.000, 18304.500 
, 291863.094, 9607.000, 18361.301 
, 292992.812, 9628.800, 18387.801 
, 294122.688, 9651.400, 18444.400 
, 295272.000, 9673.000, 18470.699 
, 296429.094, 9694.900, 18525.801 
, 297586.688, 9715.900, 18552.000 
, 298732.688, 9738.200, 18607.000 
, 299894.312, 9759.300, 18633.100 
, 301068.906, 9781.900, 18690.500 
, 302237.594, 9803.400, 18716.301 
, 303400.688, 9825.500, 18773.400 
, 304583.812, 9846.800, 18798.900 
, 305766.688, 9869.000, 18848.199 
, 306954.188, 9890.200, 18873.900 
, 308139.312, 9912.200, 18923.400 
, 309337.812, 9933.600, 18949.301 
, 310544.906, 9956.000, 19000.301 
, 311754.406, 9977.600, 19026.301 
, 312964.094, 10000.500, 19077.400 
, 314201.594, 10022.400, 19103.500 
, 315451.688, 10044.600, 19153.400 
, 316695.500, 10065.500, 19179.699 
, 317905.688, 10087.800, 19229.801 
, 319140.406, 10109.400, 19256.301 
, 320390.312, 10131.400, 19310.301 
, 321621.406, 10153.000, 19336.699 
, 322836.312, 10175.500, 19390.600 
, 324078.188, 10196.600, 19416.900 
, 325309.312, 10219.000, 19468.199 
, 326544.812, 10240.200, 19494.600 
, 327777.688, 10262.200, 19546.000 
, 329024.406, 10283.600, 19572.500 
, 330279.312, 10305.800, 19625.301 
, 331536.812, 10327.400, 19651.801 
, 332794.500, 10350.000, 19704.600 
, 334070.688, 10371.100, 19731.100 
, 335357.312, 10393.700, 19782.600 
, 336642.688, 10414.500, 19809.199 
, 337916.906, 10436.800, 19860.801 
, 339207.594, 10458.400, 19887.500 
, 340508.688, 10480.300, 19941.699 
, 341804.312, 10501.500, 19968.301 
, 343096.906, 10524.100, 20022.400 
, 344406.688, 10545.100, 20048.900 
, 345718.688, 10567.600, 20099.199 
, 347034.188, 10588.800, 20125.900 
, 348347.500, 10611.000, 20176.400 
, 349674.000, 10632.400, 20203.301 
, 351008.688, 10654.400, 20255.301 
, 352345.094, 10675.700, 20282.301 
, 353684.094, 10699.400, 20334.400 
, 355065.406, 10721.400, 20361.500 
, 356469.094, 10743.700, 20412.400 
, 357853.906, 10764.900, 20439.699 
, 359160.094, 10787.400, 20490.801 
, 360505.500, 10808.300, 20518.301 
, 361878.500, 10831.100, 20574.500 
, 363202.406, 10852.800, 20601.801 
, 364487.500, 10875.100, 20657.801 
, 365814.688, 10895.900, 20684.900 
, 367110.688, 10918.400, 20738.199 
, 368410.406, 10939.800, 20765.301 
, 369707.312, 10961.600, 20818.600 
, 371018.000, 10983.200, 20845.699 
, 372336.688, 11005.200, 20900.301 
, 373658.406, 11027.000, 20927.301 
, 374979.906, 11049.400, 20981.801 
, 376321.594, 11071.200, 21008.699 
, 377670.906, 11093.300, 21061.801 
, 379021.594, 11114.600, 21088.699 
, 380358.312, 11136.400, 21141.801 
, 381711.906, 11157.500, 21168.699 
, 383078.312, 11179.900, 21224.301 
, 384437.906, 11201.100, 21251.000 
, 385794.500, 11223.900, 21306.400 
, 387169.406, 11245.000, 21332.900 
, 388544.312, 11267.200, 21383.199 
, 389922.688, 11288.100, 21409.900 
, 391300.906, 11310.600, 21460.400 
, 392691.594, 11332.000, 21487.301 
, 394090.500, 11354.200, 21539.301 
, 395491.812, 11375.600, 21566.301 
, 396893.688, 11398.700, 21618.400 
, 398323.000, 11420.400, 21645.500 
, 399765.094, 11442.600, 21696.400 
, 401202.406, 11464.200, 21723.699 
, 402603.094, 11486.000, 21774.801 
, 404029.812, 11507.400, 21802.301 
, 405471.906, 11529.600, 21857.301 
, 406895.000, 11551.200, 21884.699 
, 408301.688, 11573.500, 21939.600 
, 409735.812, 11594.800, 21966.900 
, 411158.906, 11617.200, 22019.199 
, 412586.188, 11638.200, 22046.600 
, 414011.094, 11660.200, 22099.000 
, 415449.812, 11681.600, 22126.500 
, 416896.906, 11704.000, 22180.301 
, 418345.094, 11725.100, 22207.801 
, 419796.094, 11748.000, 22261.600 
, 421265.594, 11769.800, 22289.100 
, 422742.688, 11791.700, 22341.600 
, 424220.312, 11812.700, 22369.199 
, 425686.312, 11835.000, 22421.801 
, 427167.906, 11856.100, 22449.500 
, 428662.500, 11878.700, 22504.699 
, 430151.188, 11900.200, 22532.301 
, 431634.500, 11922.500, 22587.400 
, 433137.406, 11943.600, 22614.900 
, 434640.312, 11965.800, 22666.199 
, 436146.688, 11986.700, 22693.900 
, 437653.094, 12009.200, 22745.400 
, 439171.406, 12030.400, 22773.301 
, 440698.500, 12052.800, 22826.301 
, 442227.812, 12074.200, 22854.301 
, 443757.688, 12097.700, 22907.400 
, 445363.188, 12120.400, 22935.500 
, 447009.906, 12142.600, 22987.400 
, 448613.406, 12164.200, 23015.699 
, 450046.312, 12186.200, 23067.801 
, 451551.906, 12207.300, 23096.301 
, 453104.094, 12230.200, 23154.699 
, 454549.406, 12251.800, 23182.900 
, 455911.312, 12274.100, 23241.000 
, 457347.500, 12295.100, 23268.900 
, 458707.500, 12317.600, 23324.199 
, 460071.000, 12338.800, 23352.000 
, 461432.094, 12361.000, 23407.199 
, 462806.594, 12382.200, 23434.900 
, 464189.500, 12404.400, 23491.301 
, 465573.906, 12425.700, 23518.801 
, 466960.688, 12448.600, 23575.000 
, 468366.406, 12470.400, 23602.301 
, 469779.500, 12492.300, 23657.000 
, 471194.188, 12513.600, 23684.199 
, 472595.312, 12535.600, 23738.801 
, 474012.688, 12556.700, 23765.900 
, 475443.094, 12579.100, 23822.900 
, 476868.000, 12600.800, 23849.699 
, 478287.094, 12622.900, 23906.400 
, 479725.094, 12643.900, 23932.900 
, 481165.094, 12666.400, 23983.199 
, 482608.594, 12687.600, 24009.900 
, 484049.906, 12709.800, 24060.400 
, 485504.188, 12731.000, 24087.301 
, 486967.312, 12753.400, 24139.301 
, 488431.500, 12774.500, 24166.301 
, 489898.312, 12797.700, 24218.400 
, 491391.812, 12819.600, 24245.500 
, 492897.906, 12841.800, 24296.400 
, 494399.188, 12863.400, 24323.699 
, 495863.906, 12885.200, 24374.801 
, 497354.594, 12906.600, 24402.301 
, 498860.688, 12928.800, 24457.301 
, 500347.812, 12950.400, 24484.699 
, 501818.500, 12972.700, 24539.600 
, 503316.594, 12994.000, 24566.900 
, 504803.688, 13016.400, 24619.199 
, 506295.000, 13037.400, 24646.600 
, 507784.094, 13059.600, 24699.000 
, 509286.594, 13080.800, 24726.500 
, 510797.500, 13103.000, 24780.301 
, 512309.906, 13124.300, 24807.801 
, 513824.906, 13147.400, 24861.600 
, 515358.188, 13168.800, 24889.100 
, 516899.500, 13190.900, 24941.600 
, 518441.094, 13211.900, 24969.199 
, 519971.312, 13234.400, 25021.801 
, 521517.812, 13255.600, 25049.500 
, 523075.094, 13277.700, 25104.699 
, 524628.000, 13299.400, 25132.301 
, 526175.125, 13321.500, 25187.400 
, 527741.125, 13342.500, 25214.900 
